cldf_name,cldf_glottocode,cldf_iso639P3code,cldf_latitude,cldf_longitude,cldf_value,author,title,year,id
"Southern Cook Island Maori",raro1241,rar,-21.23,-159.78,"long grammar","Nicholas, Sally Akevai Te Namu","Ko te Karāma o te Reo Māori o te Pae Tonga o Te Kuki Airani: A Grammar of Southern Cook Islands Māori",2016,hh:g:Nicholas:Southern-Cook-Islands-Maori
Konai,kona1242,kxw,-5.66011,142.069,"long grammar","Årsjö, Britten","Konai Reference Grammar",2016,hh:g:Arsjo:Konai
Shatt,shat1244,shj,10.8525,29.7687,grammar,"Alfira, David Abbi and Kafi, Timothy Kuku and Kaki, Hassan Kuwa and Hasan, Ali Alaliim and Anjo, Anjo Kuku and Jas, Dayan Kuku and Sarukh, Sadik Kafi","Caning Grammar Book",2016,hh:g:Alfira:Caning:2016
"Anta-Komnzo-Wára-Wérè-Kémä",wara1294,tci,-8.64917,141.52,"long grammar","Döhler, Christian","Komnzo: A language of Southern New Guinea",2016,hh:g:Dohler:Komnzo
Kikai,kika1239,kzg,28.31,129.982,grammar,"Shirata, Rihito","Ryūkyū Amami Kikaijima Kamikatetsu hōgen no bunpō",2016,hh:g:Shirata:Kikai-Kamikatetsu
Mehek,mehe1243,nux,-3.70927,142.498,"long grammar","Hatfield, Adam","A grammar of Mehek",2016,hh:g:Hatfield:Mehek
"Amdo Tibetan",amdo1237,adx,34.5177,100.485,"long grammar","Dpal, Ldan Bkra Shis","Amdo Tibetan Language: An Introduction to Normative Oral Amdo",2016,hh:g:Dpal:Amdo
Situ,situ1238,,31.590536,102.660664,"long grammar","Prins, Maria Clazina","A Grammar of rGyalrong, Jiǎomùzú (Kyom-kyo) Dialects",2016,hh:g:Prins:rGyalrong-Jiaomuzu:2016
"Southern Qiang",sout2728,qxs,31.5392,103.384,"long grammar","Zheng, Wuxi","A Grammar of Longxi Qiang",2016,hh:g:Zheng:Longxi-Qiang:2016
Tosu,tosu1234,,28.533333,102.083333,grammar,"Chirkova, Katia and Han, Zhengkang","Shíyòng duōxùyǔ yǔfǎ",2016,hh:g:ChirkovaHan:Duoxu
Honi,honi1244,how,23.2074,101.886,"long grammar","Cài, Jíyàn","Hāníyǔ wōní huà yánjiū",2016,hh:g:Cai:Woni
Dumi,dumi1241,dus,27.45849,86.75699,"long grammar","Rai, Netra Mani","A grammar of Dumi",2016,hh:g:Rai:Dumi:2016
Wutunhua,wutu1241,wuh,35.269,101.957,"long grammar","Sandman, Erika","A Grammar of Wutun",2016,hh:g:Sandman:Wutun
Dagik,dagi1241,dec,10.583,29.9404,grammar,"Vanderelst, John","A Grammar of Dagik: A Kordofanian Language of Sudan",2016,hh:g:Vanderelst:Dagik
Garifuna,gari1256,cab,15.3529,-86.9091,"long grammar","Haurholm-Larsen, Steffen","A Grammar of Garifuna",2016,hh:g:Haurholm-Larsen:Garifuna
Dazaga,daza1242,dzg,15.7358,15.8517,grammar,"Walters, Josiah Keith","A grammar of Dazaga",2016,hh:g:Walters:Dazaga:2016
Markweeta,mark1255,enb,1.15018,35.5866,"long grammar","Mietzner, Angelika","Cherang'any: A Kalenjin Language of Kenya",2016,hh:g:Mietzner:Cherangany
Jumjum,jumj1238,jum,10.4349,33.7494,grammar,"Fadul, Yousif Aljuzuli and Chol, Terafi Mohadin and Teebu, Muusa Nuer and Yousif, Bal Douwash and Blang, Abrahama Kidir and Anur, Abdalmajid Juma","Jumjum Grammar Book",2016,hh:g:Fadul:Jumjum
Reel,reel1238,atu,6.32234,30.49451,grammar,"Cien, Mark Akec and Piiny, Andrew Agok Igai and Angong, David Mabor Makuei and Kerjok, John Malak Balang and Johou, Daniel Majier and Nhial, David Kuacreng","Reel grammar book",2016,hh:g:Cien:Reel
